gene,length
,
FHOD1,18094
,
MATR3,38003
,
ZBED1,14562
,
CHST1,17933
,
PLEKHG3,46147
,
FZD7,4586
,
NPR2,18729
,
NCKAP1,129743
,
OR5T2,2973
,
PARP1,47944
,
R3HDM1,193815
,
SLC32A1,4886
,
KANSL1L,149988
,
MAP7D3,43262
,
PKD2L1,42115
,
ZNF184,22375
,
SLC23A2,157937
,
INSC,134784
,
PRLR,181731
,
IPO5,70638
,
SLC18A3,2410
,
KCNN3,172826
,
ANKFY1,100174
,
ZNF470,21443
,
ZP2,17060
,
RALYL,739057
,
GRAMD1B,269346
,
OFD1,43212
,
KIAA1407,
,
WDR78,
,
ANLN,63970
,
ADCY4,16744
,
GTF3C2,31150
,
OR4C16,932
,
ANO7,37467
,
ZSCAN18,34589
,
ACSL4,109159
,
VARS2,12254
,
TGM4,40382
,
ADGRF4,36157
,
ARHGAP24,527518
,
POLR3B,152450
,
PITPNM3,105292
,
SKIDA1,12893
,
ACTN4,83940
,
GALNT5,60786
,
MAB21L1,5345
,
PRPF4B,
,
MLLT10,218984
,
SPTY2D1,28388
,
GPHN,674396
,
KLB,44603
,
EPB41L4B,149085
,
ARMC5,9086
,
TOX,313735
,
KCNAB1,501055
,
MORC2,43644
,
PTPN4,224977
,
PIWIL2,82252
,
TYR,117884
,
KCNK9,103271
,
FBXO38,58901
,
TMTC2,447990
,
ABCG8,51046
,
WDR11,58219
,
CFAP69,65889
,
PHF12,46521
,
RTN4,140434
,
FGFR1,68619
,
WDR59,128811
,
AP1G1,80201
,
CDH5,38094
,
PHF20,178396
,
ARHGEF18,123548
,
FGFR4,11239
,
SLK,62093
,
EIF4A2,6692
,
PIGR,17944
,
RBMXL3,3458
,
FMNL2,314652
,
IDS,44108
,
ENPP1,87139
,
ARHGAP28,186000
,
SGCZ,1153586
,
OR4A5,1070
,
NDST1,72393
,
ABCD2,69770
,
ZNF540,62773
,
ABR,226219
,
BICD1,276798
,
TLR9,4565
,
DNAI2,40650
,
SLFN13,13741
,
SCUBE3,39123
,
ADAMTS1,9654
,
TAOK1,161540
,
TGFBR2,87771
,
SMC3,38364
,
SEC24D,115860
,
TRPV2,21432
,
FMNL1,25875
,
PDZD8,98166
,
OPLAH,12699
,
OR5D14,944
,
DGKH,216542
,
ITGB3,59916
,
ATP13A1,18478
,
ESR1,472928
,
EFCAB13,118022
,
AP3B1,303122
,
NPFFR2,116403
,
IGHG3,6902
,
HSPA12A,179059
,
LPIN1,149814
,
LILRB4,26470
,
ARHGEF2,60219
,
PPP6R3,154603
,
IKBKB,61158
,
ELN,42118
,
SH3KBP1,353623
,
FAM91A1,47013
,
FGFR3,15579
,
DPYS,136731
,
6-Mar,
,
MYCBPAP,23076
,
MPO,11080
,
EFTUD2,49497
,
MRGPRX1,5915
,
WDR6,8891
,
SCP2,124422
,
SMARCAD1,83681
,
EXOC7,40560
,
NUP133,68082
,
LMX1A,154848
,
ASAH2,96942
,
DPY19L2,110026
,
ZNF84,26012
,
PHLPP1,264892
,
TMF1,32512
,
KSR1,169990
,
SLC17A4,26500
,
TMTC4,71468
,
TLK1,240491
,
TRIM55,48589
,
MTMR3,147699
,
ZNF623,20399
,
HERC3,184640
,
PDE6A,86840
,
C14orf37,
,
ULK4,715531
,
PIK3CB,182592
,
ACSBG1,78220
,
REV1,89560
,
PPFIA3,31482
,
E2F8,17557
,
ARHGAP22,210229
,
TBC1D15,87541
,
WAPAL,
,
DIAPH1,104039
,
MBTPS1,63181
,
PLCH2,79552
,
SP4,86779
,
TRPC1,83854
,
PROM2,16859
,
WWP2,179413
,
CADM1,335739
,
SRRT,13561
,
PPM1E,229325
,
MINK1,64721
,
RPS6KA3,117608
,
ZBTB21,23556
,
SH3RF2,145213
,
TOX2,154764
,
CPZ,27099
,
BEND3,50333
,
WBP11P1,2971
,
USP11,15462
,
PRKD3,74331
,
APP,290593
,
CTC1,23243
,
ARHGEF25,7065
,
RIC1,147532
,
MRVI1,
,
PLIN4,16294
,
FKBP15,60452
,
AHR,429793
,
ZNF569,58120
,
RP11-383M4.6,
,
SLC22A10,43761
,
LPP,737387
,
BBS2,117027
,
ZNF800,85134
,
ERG,281753
,
NXF3,17333
,
OR5L2,935
,
SAP130,86903
,
ZNF700,25705
,
SNX13,149740
,
PTGFRN,80437
,
DENND1A,550498
,
SLC9A9,583263
,
CEP112,556596
,
USP13,151334
,
CDHR3,159636
,
EIF5B,63937
,
ABLIM3,119059
,
WIZ,29978
,
ETV1,100196
,
JADE2,58918
,
SLC6A17,51708
,
NDN,1905
,
CSRP2BP,
,
OR4A16,986
,
AGAP3,58605
,
PMS2,38205
,
SLC17A8,64981
,
POU4F2,3581
,
TAF3,198134
,
ZNF445,45965
,
DKK2,362004
,
GP2,18234
,
SPATA16,251878
,
ITGA9,371392
,
MYRF,35882
,
NUAK1,75609
,
KIAA0196,
,
GRHL2,177287
,
MEP1A,46389
,
PIWIL3,55686
,
LTF,49589
,
SLC2A3,99777
,
PSG3,18843
,
WDR36,38181
,
SWT1,134701
,
TECPR1,37608
,
CEP135,84490
,
GABRG3,570803
,
HK1,131900
,
PRICKLE1,133598
,
DCAF6,140060
,
ATN1,17858
,
KDM3A,52069
,
OR2G2,953
,
SREBF2,74201
,
CLCN3,111040
,
NR3C1,157581
,
DAXX,4458
,
NPAS2,176690
,
OAS3,38409
,
PSG5,20280
,
ZSWIM4,36811
,
CRMP1,145002
,
CROCCP2,38263
,
DFNB31,
,
NHSL2,250905
,
POLR1B,37903
,
URGCP,50517
,
LDB2,397137
,
PADI3,35135
,
DNM1,63593
,
ERCC4,32210
,
OR2W3,944
,
ALCAM,209991
,
PGBD1,20977
,
MEIS1,140417
,
AMPD3,199266
,
CELF2,538278
,
STAT3,75244
,
OR4C46,929
,
ACVR1B,45379
,
ZNF648,7142
,
SLC7A13,107083
,
LIG4,10929
,
OR5D16,986
,
ERCC3,36876
,
DISP2,20402
,
ODF2,46106
,
THSD1,39206
,
ZNF226,13308
,
PAXIP1,59437
,
ADAMTSL2,43355
,
SLC26A5,93477
,
RASAL1,37420
,
AKNAD1,147586
,
SMARCA5,43784
,
EML4,163195
,
SELE,42065
,
PRKCE,536645
,
POU6F2,515186
,
NEGR1,886596
,
CUL1,103196
,
RP11-545J16.1,
,
ADAD1,50836
,
BBX,288403
,
DUSP22,59725
,
ALKBH3,39463
,
CLCA2,32382
,
CSRNP3,219760
,
OR8H3,938
,
CYP2C19,92866
,
SLCO2A1,119483
,
SGK1,148864
,
HK2,59232
,
BACH1,436680
,
ZNF780A,21791
,
BANK1,663526
,
IARS,
,
PTPRA,165656
,
MIS18BP1,50350
,
CEP104,45310
,
CCDC102B,339980
,
SMURF1,116668
,
ARHGEF7,191178
,
CYP2C18,52461
,
ESYT1,26424
,
PPFIBP1,172133
,
GLRA2,202514
,
TUBGCP5,56380
,
pk,
,
IL18RAP,33876
,
TLR10,10752
,
MLIP,336298
,
SMC5,95895
,
CCKBR,12321
,
NPR1,15304
,
PLEKHM1,54858
,
SLC7A2,73485
,
FNBP4,50949
,
ZNF681,19696
,
SERPINB3,6696
,
PPARGC1B,124724
,
AP4B1,11518
,
INTS8,68435
,
OR6F1,5210
,
TJP3,42451
,
CCDC18,98811
,
HSPA2,10268
,
ADAM30,2982
,
LARP4,87621
,
TBL1XR1,208660
,
DGKA,26708
,
SMTN,40652
,
OR11L1,968
,
FAM155A,
,
CA10,529704
,
EZH2,77064
,
LNX1,242104
,
NR4A3,45036
,
HDAC5,46956
,
BIRC8,1467
,
ADGRE2,46168
,
RBL2,57671
,
PARP8,180620
,
DYNC1I1,337816
,
PALB2,38161
,
YY1AP1,29888
,
OR2T6,16065
,
OR5F1,944
,
CRB2,24154
,
UGT2B28,14575
,
SCNN1G,34138
,
C12orf50,54002
,
ZNF341,60612
,
MYBBP1A,16489
,
SLC38A4,67647
,
CYP4F8,15421
,
GSPT2,2790
,
CPXM1,6553
,
OR11H1,947
,
SEMA3C,179821
,
PAPOLB,4292
,
EFR3A,109549
,
SEC24B,107124
,
LIG1,55158
,
CENPC,76741
,
TPH2,247773
,
NCOA7,150873
,
ARHGAP11A,24797
,
CYP7B1,210974
,
OR1C1,5710
,
ULK2,97107
,
PRAMEF4,6989
,
ADARB1,152707
,
OR2T33,8059
,
GLRA3,192327
,
MAMDC2,183124
,
SPTLC3,160131
,
PALD1,189987
,
SUSD4,143414
,
ACTN3,16939
,
RBM6,160038
,
DENND1C,15350
,
NEK5,95481
,
SMC6,136430
,
PNISR,27702
,
UMOD,23250
,
OR4C13,1028
,
OR2T3,956
,
SPAG5,21460
,
BRPF1,16290
,
ELAVL4,179743
,
ECT2L,108159
,
EPS15L1,116860
,
MAEL,46632
,
DHX8,126473
,
COLGALT2,107875
,
SYT9,230265
,
ST8SIA3,19174
,
RNF31,13977
,
KIAA1468,
,
CYP4A11,12307
,
CHRNB3,40041
,
SYBU,117813
,
GPAM,65512
,
FAM73A,
,
MDM1,59938
,
HIPK3,100351
,
IL21R,49868
,
NPY5R,8042
,
ZNF534,23167
,
GAS7,288000
,
TCF12,380658
,
MYO1E,240437
,
NDNF,37408
,
ACLY,63625
,
TAF4,112412
,
LIPI,102142
,
SGSM2,43560
,
RAPGEF3,36677
,
TXLNB,52915
,
MAP3K12,20394
,
XRN2,86494
,
GAREM,
,
ADAMDEC1,21728
,
ADGRF3,38644
,
RALGDS,51614
,
DLG4,32649
,
HPSE2,778785
,
HNRNPUL1,45291
,
ZNF507,42073
,
UNC13D,17560
,
SLC38A10,50736
,
ZMAT1,49743
,
AL078471.5,
,
ERC1,505424
,
KIR3DL3,12190
,
PRAMEF20,10878
,
REST,58932
,
ARHGEF9,174307
,
AK5,277947
,
NOD1,54257
,
CLCN6,41983
,
BAGE2,62297
,
MYO1D,384655
,
WEE2,22918
,
OPRK1,25913
,
TLE1,105864
,
ZBTB34,25239
,
SLC22A2,106577
,
ARHGAP26,458634
,
MAGED1,99347
,
TMEM67,64390
,
SRRM1,41565
,
FAM71A,
,
PLEKHH1,56322
,
STK10,146145
,
PDE5A,134407
,
APBB1IP,130108
,
KCTD19,37332
,
MCM10,49552
,
CTNNA1,324067
,
USP43,84989
,
SPOP,79279
,
RBM44,44419
,
PKD2,70142
,
FMO3,26918
,
HPS4,40824
,
SCEL,109589
,
CLVS2,76690
,
MAP7D2,110194
,
WDPCP,708284
,
INPP4A,149538
,
CD1C,4851
,
KRT73,10989
,
CSF3R,17235
,
IL31RA,71497
,
SLC8A2,43876
,
USHBP1,33615
,
BICD2,53470
,
ASMTL,50623
,
SMARCAL1,70670
,
LLGL2,50129
,
ZNF473,27700
,
SLC39A10,161725
,
GALNT15,57312
,
EPX,12448
,
THRB,378603
,
KCTD3,54503
,
RASGRP3,150345
,
PDE2A,98450
,
FANCB,182867
,
PPP2R2C,243022
,
ZNF280D,103910
,
WDR91,27716
,
AMOTL1,170317
,
GARNL3,169395
,
KLHL14,100350
,
DPYSL5,102604
,
ITGA3,34513
,
PFKP,71385
,
PRAMEF17,2997
,
OR7D2,9839
,
RBM39,40965
,
TMPO,34790
,
ZNF551,35332
,
EEF2,9407
,
PAX1,12822
,
TMEM132C,440741
,
LIG3,29231
,
MCM7,9707
,
ZNF438,211730
,
DBH,22966
,
AGMO,361698
,
ZXDA,5028
,
ZMYM1,86646
,
NGEF,134555
,
CFLAR,60533
,
KAT2B,113958
,
PPIG,57064
,
SLC5A12,56407
,
CCER1,49554
,
WDR19,103306
,
ANKEF1,72177
,
PIGG,40990
,
LRRC4,5036
,
LRCH2,123480
,
OR8J3,5480
,
TSPYL2,6173
,
SERPINA3,11671
,
SLC12A4,26127
,
L3MBTL4,460531
,
PNLIPRP3,50110
,
DHX15,67113
,
Y_RNA,100
,
C15orf39,16526
,
PAPD7,
,
TPCN1,77535
,
OR2T2,10213
,
ZC3H14,64626
,
LHX9,23576
,
NEXN,55382
,
CORO7,71163
,
LILRB3,7228
,
CDCP1,64145
,
OR5L1,1109
,
IL17RD,80324
,
DLG1,256770
,
JPH1,86840
,
ADAM32,177927
,
LIMK2,67841
,
FLI1,126732
,
FCHO1,40850
,
PTPN23,32424
,
ADD1,86232
,
FAM83H,14301
,
PRAMEF11,6805
,
HACE1,131825
,
SLC13A2,24488
,
NCAPG2,73635
,
JADE3,148966
,
GDA,142598
,
SCAF1,16433
,
CCDC146,207099
,
SFI1,129900
,
ERCC2,21081
,
ZNF677,19517
,
DYTN,69949
,
BHLHB9,
,
ZNRF3,173916
,
MAP9,34312
,
HPS3,44094
,
ZRANB3,394302
,
ZSCAN1,20606
,
DIO3,3313
,
MPEG1,4417
,
EDEM3,64670
,
ZNF512B,13226
,
OR6K2,974
,
RUNX2,336192
,
NOL8,28278
,
CHRNA4,35178
,
PAMR1,98477
,
CWF19L2,131465
,
RECK,87542
,
SMARCC1,196837
,
SF3B3,53879
,
RANBP6,4600
,
PYGB,49927
,
GCNT1,231353
,
LRIG2,59062
,
SLC6A13,42252
,
IGF2BP2,181912
,
KCTD16,314813
,
XKR3,41999
,
XPOT,46733
,
CLSTN1,95058
,
SH3PXD2B,129525
,
REPS2,206614
,
ADGRA1,43751
,
ZNF436,10388
,
CD101,34802
,
CD1A,3845
,
FER,449000
,
ACSL6,62270
,
HSPH1,27415
,
ARHGAP39,156667
,
DLL1,24359
,
IL1RL1,40535
,
LIPE,25891
,
FAM110B,209756
,
JADE1,65524
,
CES5A,109877
,
PARK2,
,
SLC17A3,49220
,
TRIM41,13309
,
SEC14L1,128352
,
HIC2,34092
,
SOCS4,22259
,
QSOX1,49161
,
OR2L2,12235
,
MITF,228880
,
MB21D2,121041
,
HTR3A,15238
,
SLC6A14,24852
,
FAM214A,
,
AARS2,14616
,
CHAF1A,42378
,
IQSEC1,386238
,
PADI4,55809
,
UGT2A3,23341
,
SLC6A11,124513
,
SIGLEC5,15444
,
SLC9A6,73428
,
C16orf62,
,
BLOC1S5-TXNDC5,182842
,
USP8,90041
,
POU3F4,3837
,
TUBGCP3,103194
,
PRAMEF12,4168
,
FBXO43,12466
,
RBM12,16031
,
ZNF781,7814
,
OR2T1,4972
,
OR2L8,938
,
OSBPL8,208012
,
MAGEA4,12676
,
RNF216,161649
,
PLOD3,12443
,
KIR3DL1,14310
,
FNIP2,139024
,
NXF1,14179
,
ZCCHC2,64684
,
OR10G8,3836
,
MAP4K3,188035
,
UNC45A,23913
,
ARMC8,111136
,
KDM4A,55369
,
SRGAP2,261090
,
ZNF418,13520
,
SLC9A3,53993
,
FAM186A,70392
,
TTC7B,291915
,
SPG20,
,
ASB15,72471
,
PRAMEF14,5242
,
SLC24A2,281585
,
SKIV2L2,
,
NAP1L3,2648
,
CDCA2,48712
,
ARMCX2,4569
,
PHF14,196287
,
ZFAND4,57280
,
MAPK4,171739
,
ST8SIA2,74847
,
ZNF180,26096
,
ZCCHC16,
,
MYO19,47799
,
CTBP1,38888
,
ZNF331,60742
,
LRIF1,16775
,
ZFYVE28,149069
,
CD33,18796
,
ZNF546,36904
,
AOC3,6946
,
HPN,26067
,
CPEB1,105660
,
KCNG1,19451
,
VHL,11898
,
SAFB2,37065
,
CCDC87,2887
,
CERKL,145624
,
XPO7,86923
,
ITCH,148538
,
SERPINB4,6997
,
TTLL3,47052
,
XPO5,53704
,
FBXO10,65488
,
OTUD7A,395391
,
VAV2,230710
,
PDZD4,28399
,
SPAG9,158694
,
OR51E1,12068
,
COL13A1,162395
,
ZNF528,20563
,
OR2C3,11763
,
MAG,21682
,
RBM15B,6623
,
EDARADD,154658
,
SPIDR,475428
,
IARS2,53909
,
CEP97,46028
,
RP11-551L14.1,
,
AKT3,362846
,
KIAA0319L,164067
,
LNPEP,102119
,
MTF1,50018
,
PHF21A,192135
,
SNX29,597553
,
CYP2C8,32725
,
GGNBP2,44936
,
HR,18965
,
INTS4,120297
,
HOXA3,46399
,
ABLIM2,193522
,
ADAMTS8,23686
,
LILRA4,5977
,
FBXL13,263650
,
LPO,49970
,
MKL1,
,
ABHD13,15851
,
IGHMBP2,36739
,
TGM2,39193
,
ZNF382,29297
,
MAP4K1,31241
,
RTN3,78445
,
BUB1,40535
,
L1TD1,40270
,
LPAL2,57579
,
CACNA2D2,141631
,
ZNF254,96563
,
CYP2A13,7744
,
CASK,408620
,
LMTK3,28664
,
HNRNPM,44347
,
TEX10,50865
,
C9orf131,
,
CCDC63,60766
,
C1S,82773
,
SLC3A1,46036
,
PAM,275749
,
TFAP2A,26473
,
SYNPO2L,18922
,
PRR14L,73884
,
ZNF267,43550
,
BRSK1,30490
,
CYP11A1,29887
,
FXR1,114612
,
RAP2B,8401
,
WDR63,
,
UGT2B11,14797
,
BPIFB4,32108
,
SENP6,116772
,
SLC1A7,55459
,
OR2G3,929
,
FMO1,37507
,
PROSER1,28224
,
TRIM67,59507
,
VAC14,113721
,
USP53,82931
,
PRDM14,20042
,
CNOT4,148350
,
RAPH1,140990
,
TRPV3,47310
,
ANO6,266293
,
RNF20,29491
,
LRRC49,200419
,
ECM1,5727
,
P2RY10,18395
,
B4GALNT3,103570
,
PRAMEF15,7017
,
LDLR,44402
,
CNST,102151
,
BCAR3,285409
,
PAH,121521
,
NOX4,173834
,
OR10J3,939
,
ADAMTS4,14752
,
POTEB3,35098
,
FAM65B,
,
TMTC3,57591
,
NXF4,9530
,
SYDE2,44835
,
POU3F2,4884
,
PROKR2,17736
,
GJA1,14132
,
PCDHGB5,115028
,
CNNM2,171928
,
TRAPPC10,94243
,
ADGRE3,90947
,
LDB3,69287
,
RNF40,14562
,
KIF7,54297
,
NUP107,58858
,
NR1H4,90706
,
RNF220,246529
,
TDRD7,84029
,
ZSCAN5B,8129
,
ACTL9,1395
,
MTRR,54839
,
MCM2,24213
,
AGBL2,55798
,
PENK,9997
,
BRD3,38230
,
GMIP,14181
,
ISL1,11282
,
PIK3C3,132596
,
BTN2A2,11778
,
SLC5A11,65787
,
SYT1,588015
,
PGBD5,111842
,
SEMG2,3085
,
BCAS1,133817
,
AIM1L,
,
OIT3,39452
,
PRKCA,508130
,
PLEKHA4,31525
,
GANAB,21900
,
ENOX1,573842
,
UTP14A,23640
,
SMYD1,45559
,
CARD14,46081
,
P3H2,165709
,
CALN1,667660
,
CCDC110,26570
,
APLP1,11904
,
OR2M4,13262
,
CDYL,249392
,
PIWIL4,77581
,
TRAM1L1,2022
,
KRT75,10301
,
MID1,388344
,
RIN3,175213
,
ACTB,37493
,
CALCRL,106496
,
RIPK4,27720
,
TLR3,19162
,
PAX4,7850
,
OSBP2,214042
,
ZFP3,17907
,
FAM83C,6694
,
SLFN12L,73434
,
USP42,56615
,
DDX11,30939
,
SLC45A2,40070
,
XAB2,10020
,
OLFM1,45758
,
EVI5,283708
,
ANKRD20A8P,66179
,
TBC1D31,110185
,
UBAP2,127695
,
FZD1,6893
,
SPRED1,104413
,
IL4R,51110
,
ITGB6,172221
,
FAM46C,
,
RBM26,94653
,
MPP7,283493
,
USP35,26420
,
RAB3GAP1,124378
,
ANKRD33,3718
,
STAT1,112500
,
MAGEB1,8325
,
BCL6,24348
,
ABCG1,104700
,
RBM15,8175
,
HERC6,64358
,
FMO2,27437
,
GPR139,45651
,
LRRC41,42420
,
DGCR8,31656
,
HAS2,29324
,
ARHGEF1,46977
,
FARP2,138556
,
RNF128,103222
,
TDRD9,124211
,
SLC28A1,61144
,
GAD1,47938
,
UBQLNL,4038
,
GOLGA2,20197
,
SLC22A9,40509
,
ESYT2,99258
,
JAG2,27842
,
DPY19L2P1,104451
,
LHX8,33099
,
HEPACAM2,37935
,
KIF1C,30451
,
ZBTB43,33204
,
PID1,420761
,
KAZN,1225251
,
TYRO3,25914
,
NYAP1,10875
,
SLC9A5,34508
,
PPP1R13B,114380
,
PIK3R5,86801
,
WDR35,79842
,
TACC1,124842
,
NFATC3,144508
,
PRKD2,42852
,
CATSPERG,35168
,
JAKMIP3,148522
,
IPO7,63475
,
DGKZ,47649
,
CFAP45,27801
,
IREB2,64022
,
VIL1,34174
,
ARHGAP12,123478
,
KIAA1324,
,
ADCYAP1R1,59166
,
BMP3,26919
,
PPP4R1,68449
,
ZNF750,10588
,
PTPN5,64793
,
TTLL6,54995
,
UNC5A,70379
,
KMO,63508
,
RORB,195842
,
EFTUD1,
,
ETS1,128797
,
OR2W5,
,
PDP1,68261
,
MMP9,7653
,
TRIM51HP,6387
,
MSH2,260079
,
TTF2,47127
,
BRD2,12911
,
RGAG4,
,
SEMA4D,137343
,
SPATA18,45995
,
USP38,40295
,
TSC22D1,145004
,
YME1L1,45178
,
HYOU1,13039
,
SLCO2B1,105986
,
PDE4C,47458
,
ZNF777,29699
,
IGSF21,270685
,
IPO9,55142
,
DPPA4,11402
,
SCG2,5421
,
MAGEB4,2187
,
KRT15,8784
,
MTHFR,20732
,
HECTD2,105549
,
KPNA4,70564
,
RBM46,47600
,
CHM,186381
,
GRIN2C,19481
,
DZIP1L,53828
,
SLC10A2,22419
,
MAF,14894
,
CCAR2,16207
,
EYA2,294220
,
KIF3B,57360
,
MFI2,
,
S1PR1,6848
,
DDX42,45714
,
PAK3,283076
,
TERT,41921
,
SLC5A1,69768
,
TRPM5,39999
,
DYRK4,53094
,
MYADM,13362
,
PLK2,6157
,
KRT6B,5495
,
EDA,423405
,
ZNF488,18797
,
UBAP2L,51331
,
CCPG1,68478
,
CARS,
,
FUT8,333529
,
GPR37,21907
,
RBM12B,12862
,
SPECC1L,146922
,
NOX3,60471
,
MPHOSPH9,91694
,
PHC3,95017
,
CDC14C,2907
,
ESCO1,71603
,
ABCG4,13601
,
SLC16A14,34011
,
PCSK7,28188
,
EIF4ENIF1,59131
,
DIO2,190231
,
CACNB4,266396
,
UBA1,24267
,
SIDT2,18709
,
SLC18A2,38337
,
JUP,32327
,
GRXCR1,137945
,
KANK2,33521
,
AK7,97299
,
LRRC32,13223
,
MAP2K4,123001
,
SEMA4F,36408
,
KRT4,7567
,
DDX10,275941
,
SLC9A1,68172
,
SLC35F3,419835
,
HUNK,171613
,
HNF4G,158920
,
TBX4,32706
,
ZNF326,40423
,
SLC45A1,26053
,
PHF21B,128843
,
VSIG4,18387
,
ESRRB,191125
,
ZNF117,36024
,
AP2A2,87364
,
TMC1,316689
,
GPR156,120577
,
MYB,37865
,
INF2,41389
,
NUGGC,61972
,
ALOX5,71943
,
VPS39,49606
,
TONSL,15665
,
CREBRF,82932
,
RUFY3,104415
,
RSBN1,50644
,
CNOT6L,106228
,
FURIN,14976
,
TMPRSS7,46533
,
NSUN2,34052
,
LGR4,106829
,
LRRC8D,115597
,
KY,51713
,
ANKIB1,155409
,
MARS,
,
CLIP4,102072
,
PRSS12,72965
,
ESF1,70597
,
KNG1,27062
,
CPEB2,67672
,
EXOC1,51438
,
ZNF12,18514
,
TOPAZ1,90212
,
ITIH4,17726
,
IFT80,142894
,
ZNF112,40662
,
ZBTB7C,384080
,
SDHA,38779
,
MACROD2,2057828
,
ZNF574,13075
,
SH3RF1,176697
,
CYP4B1,61575
,
POMGNT1,31622
,
HLTF,56427
,
TMPRSS6,44277
,
OR5I1,944
,
PARP10,35619
,
DTX4,37158
,
SLC13A3,126644
,
EIF4G2,11890
,
FLRT3,14629
,
GTF3C3,36690
,
SEC14L5,60827
,
SESTD1,163154
,
B3GNT5,45251
,
KIFC1,18073
,
KCNF1,2291
,
CDYL2,206691
,
THBS3,13463
,
TRIM36,55784
,
ZNF345,62668
,
CT47B1,3259
,
IVNS1ABP,24342
,
ZNF197,63583
,
KBTBD8,12903
,
ABCF3,7917
,
ADH1B,16430
,
IVL,3340
,
MIR1270,82
,
NKAPL,1661
,
TBC1D12,133791
,
VEGFC,109384
,
ZNF468,19639
,
MCM4,17975
,
AC073869.20,
,
HERC5,49044
,
NEMF,70738
,
MLXIPL,31349
,
MCHR2,75728
,
HSP90AB1,7722
,
ENOX2,280909
,
XPNPEP2,30587
,
CUL5,98863
,
TICAM1,15780
,
TRIM24,129737
,
ZNF543,10298
,
ZNF415,25198
,
CHML,11518
,
BAIAP2,82312
,
CNNM4,50972
,
PRAMEF2,4823
,
HMHA1,
,
TCERG1L,219330
,
STRIP2,53967
,
GFRA1,219878
,
TTF1,31303
,
OR10AG1,4190
,
HRH1,126464
,
KCNN2,440574
,
FRMD6,241627
,
SERPINI2,37058
,
ZIM2,66184
,
ZNF730,72011
,
OR5T3,968
,
SLC7A9,39258
,
LRRC37B,46121
,
ANTXR1,236151
,
IFIH1,51610
,
RP11-114H24.7,
,
VWCE,37030
,
PAN3,156829
,
CLCN2,15465
,
KRT2,7653
,
KRT85,7475
,
ABCG2,141478
,
UBASH3A,44237
,
ELAC2,26453
,
CRAMP1L,
,
HMGCLL1,144824
,
CXorf67,
,
PCDHGC5,23894
,
DNAJC10,78209
,
FAM196A,
,
TSGA10,157703
,
RASA3,154840
,
OR10G7,5312
,
KCNA10,1958
,
STOX1,67901
,
RFPL1,3872
,
OR10K2,8027
,
RNF219,
,
ILDR2,79829
,
MATN4,15084
,
GDF2,5134
,
SLC6A4,41683
,
OSBPL10,419668
,
FOXD4L4,1250
,
ZNF454,25242
,
TNPO2,24810
,
NNT,104713
,
SIGLEC9,15564
,
MARK2,72092
,
PCDH11Y,741998
,
RXRG,44433
,
DPF3,285067
,
EXOC2,207985
,
PPP2R2B,504042
,
GDF10,13380
,
OR14K1,944
,
ARHGAP44,202145
,
SLFN5,30584
,
ARHGAP15,676990
,
TBL1X,277717
,
TMEM63C,142927
,
SF3B2,18579
,
DEPDC1,23069
,
PNLIPRP1,18790
,
RBM25,65367
,
STON1-GTF2A1L,246592
,
IKBKE,26413
,
OR10Z1,7246
,
SLC16A1,45746
,
PARP9,36653
,
ELF4,46761
,
CCDC37,
,
ANKRD36BP2,22691
,
ZC3H7A,46672
,
GIMAP6,7273
,
RIN2,244851
,
ANKRD34C,15517
,
DCLK2,178993
,
FAN1,52549
,
MAP3K10,24149
,
SBNO2,66631
,
MOV10,27615
,
TTC13,72632
,
PHTF2,158730
,
ILDR1,34924
,
OSBPL1A,235835
,
PTH2R,494789
,
PRKAA2,70021
,
SP1,36270
,
CTDP1,74700
,
POLG,29663
,
HSPA1L,5664
,
UBTF,16593
,
RASAL3,12920
,
KIF9,55453
,
SLC24A1,49629
,
DIS3L2,383105
,
PCDHGC4,27978
,
KIFAP3,163882
,
TRIM29,74243
,
KCNS3,483769
,
OR10X1,980
,
HNF1A,23969
,
AGTR1,45224
,
CEP170B,31479
,
STOX2,225834
,
HEATR6,37914
,
LRIT1,10026
,
LRRC8A,35906
,
LCP2,51582
,
CFAP52,66820
,
KLHL24,48909
,
PSG2,18836
,
DCT,42871
,
MSH5,22999
,
TMPRSS9,66023
,
OR5AS1,10537
,
SPICE1,72469
,
HPS5,43530
,
FOXM1,19494
,
VAT1L,191543
,
ZHX1,27090
,
DDX46,96362
,
UTP14C,8909
,
MTMR8,127371
,
ACSM4,24647
,
SPON1,305410
,
SYN3,550561
,
SPG7,67047
,
AOAH,215241
,
TLR2,22210
,
MIOS,42057
,
CYP26B1,18624
,
ZNF496,34455
,
FUBP1,35055
,
MYO1C,28500
,
CNKSR1,12400
,
VWDE,73056
,
SERPINA7,6292
,
NAP1L2,2552
,
CCDC27,25185
,
MTMR7,116734
,
PRPF6,51968
,
STK11IP,18594
,
SRBD1,223485
,
CYP19A1,130544
,
ZKSCAN7,38980
,
OR2H1,7173
,
ARSF,71256
,
RHOBTB1,132002
,
USP6NL,151156
,
PTCD1,49424
,
SART3,39186
,
MROH8,78362
,
TAF1C,9223
,
ADAMTS15,28000
,
SLC15A1,68871
,
KRBA1,19794
,
CD96,373277
,
MYF5,2759
,
CRTAC1,165828
,
CPNE6,7263
,
GRAMD1C,118992
,
SCYL2,74575
,
LIMA1,107732
,
GRIPAP1,28545
,
ABLIM1,336951
